"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"Comparative 210Pb, 137Cs, and pollen geochronologies of sediments from Lakes Ontario and Erie","Environmental changes during the past 2000 years in north-central Wisconsin: Analysis of pollen, charcoal, and seeds from varved lake sediments","Climatic Changes During the Quaternary Period","Quaternary Sediments","Ice-sheet initiation and climatic influences of expanded snow cover in Arctic Canada","Comparative 210Pb, 137Cs, and pollen geochronologies of sediments from Lakes Ontario and Erie","Environmental changes during the past 2000 years in north-central Wisconsin: Analysis of pollen, charcoal, and seeds from varved lake sediments","Climatic Changes During the Quaternary Period","Quaternary Sediments"
"Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota","Post - Glacial Uplift Studies North of Lake Huron","The Late- and Post-Glacial Vegetational History of the Southwestern Jura","THE LATE- AND POST-GLACIAL HISTORY OF THE GORDANO VALLEY, NORTH SOMERSET","Fossil beetles collected by James Bennie from Late Glacial silts at Corstorphine, Edinburgh","Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota","Post - Glacial Uplift Studies North of Lake Huron","The Late- and Post-Glacial Vegetational History of the Southwestern Jura","THE LATE- AND POST-GLACIAL HISTORY OF THE GORDANO VALLEY, NORTH SOMERSET"
"The pollen—Tree relationship within forests of Wisconsin and Upper Michigan, U.S.A.","A pollen analytical investigation supported by an 18O-record of a late glacial lake deposit at Grænge (Denmark)","Achene-like fossils from the lower cretaceous of the Lake Baikal area","Sediment problems and lake restoration in Wisconsin","Sedimentology and palynology of Middle Wisconsinan deposits in the Pecatonica River valley, Wisconsin and Illinois","The pollen—Tree relationship within forests of Wisconsin and Upper Michigan, U.S.A.","A pollen analytical investigation supported by an 18O-record of a late glacial lake deposit at Grænge (Denmark)","Achene-like fossils from the lower cretaceous of the Lake Baikal area","Sediment problems and lake restoration in Wisconsin"
"Pollen Influx to Laminated Sediments: A Pollen Diagram from Northeastern Minnesota","STUDIES IN THE VEGETATIONAL HISTORY OF SCOTLAND. III. A RADIOCARBON-DATED POLLEN DIAGRAM FROM LOCH MAREE, ROSS AND CROMARTY","Absolute pollen diagram of Redrock Lake, Boulder County, Colorado","Pollen stratigraphy of a sediment core from Alpen Siding Lake, Alberta","A METHOD FOR DETERMINING ABSOLUTE POLLEN FREQUENCIES IN LAKE SEDIMENTS","Pollen Influx to Laminated Sediments: A Pollen Diagram from Northeastern Minnesota","STUDIES IN THE VEGETATIONAL HISTORY OF SCOTLAND. III. A RADIOCARBON-DATED POLLEN DIAGRAM FROM LOCH MAREE, ROSS AND CROMARTY","Absolute pollen diagram of Redrock Lake, Boulder County, Colorado","Pollen stratigraphy of a sediment core from Alpen Siding Lake, Alberta"
"Late Quaternary Vegetation History of the Eastern Highland Rim and Adjacent Cumberland Plateau of Tennessee","Late cenozoic uplift of the southwestern colorado plateau and adjacent lower colorado river region","Late quaternary glacial and vegetation changes, Little Cottonwood Canyon area, Wasatch mountains, Utah","Late Quaternary Vegetation of Central Appalachia and the New Jersey Coastal Plain","Late Quaternary Foraminiferal Record in Eastern Caribbean Cores--Paleo-Oceanographic Implications: ABSTRACT","Late Quaternary Vegetation History of the Eastern Highland Rim and Adjacent Cumberland Plateau of Tennessee","Late cenozoic uplift of the southwestern colorado plateau and adjacent lower colorado river region","Late quaternary glacial and vegetation changes, Little Cottonwood Canyon area, Wasatch mountains, Utah","Late Quaternary Vegetation of Central Appalachia and the New Jersey Coastal Plain"
"Late Quaternary Vegetation of Central Appalachia and the New Jersey Coastal Plain","Palynological Study of the Late Quaternary in the Coastal Plain along Hakata Bay, in Fukuoka City, Northern Kyushu, Japan","The Landform Evolution of the Kujukuri Coastal Plain, Central Japan","<U+4E5D><U+5341><U+4E5D><U+91CC><U+6D5C><U+5E73><U+91CE><U+306E><U+5730><U+5F62><U+767A><U+9054><U+53F2>","The Vegetation of the New Jersey Pine Barrens","Late Quaternary Environments in the Central South Island of New Zealand","Late Quaternary Vegetation of Central Appalachia and the New Jersey Coastal Plain","Palynological Study of the Late Quaternary in the Coastal Plain along Hakata Bay, in Fukuoka City, Northern Kyushu, Japan","The Landform Evolution of the Kujukuri Coastal Plain, Central Japan"
"Late Pleistocene Palynology and Biogeography of the Western Missouri Ozarks","Late Cretaceous and Early Tertiary Stratigraphy and Palynology, Hoback River Basin, Western Wyoming: ABSTRACT","Pollen Analytical Study of the Late Pleistocene Deposits at the Western Foot of Mt. Yatsugatake in Nagano Prefecture, Central Japan","Morphology and classification of Late Paleozoic monosaccate miospores","Late palaeozoic plants from Yüerhung, Kansu, China","Late Pleistocene Palynology and Biogeography of the Western Missouri Ozarks","Late Cretaceous and Early Tertiary Stratigraphy and Palynology, Hoback River Basin, Western Wyoming: ABSTRACT","Pollen Analytical Study of the Late Pleistocene Deposits at the Western Foot of Mt. Yatsugatake in Nagano Prefecture, Central Japan","Morphology and classification of Late Paleozoic monosaccate miospores"
"A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York","Hydrogeologic Comparison of an Acidic-Lake Basin with a Neutral-Lake Basin in the West-Central Adirondack Mountains, New York","The Sedimentary Record of Atmospheric Pollution in Jerseyfield Lake, Adirondack Mountains, New York","Peat and water chemistry at Big Run Bog, a peatland in the Appalachian mountains of West Virginia, USA","Bionomics of Anthropophilic Simuliidae (Diptera) from the Adirondack Mountains of New York State, USA 1. Adult dispersal and longevity","A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York","Hydrogeologic Comparison of an Acidic-Lake Basin with a Neutral-Lake Basin in the West-Central Adirondack Mountains, New York","The Sedimentary Record of Atmospheric Pollution in Jerseyfield Lake, Adirondack Mountains, New York","Peat and water chemistry at Big Run Bog, a peatland in the Appalachian mountains of West Virginia, USA"
"A full-glacial biota from southeastern Iowa, USA","Stages of Climatic Change from Full Glacial to Holocene in Northwest Spain, Southern France and Italy: A Comparison of the Atlantic Coast and the Mediterranean Basin","Aeroallergens of southeastern missouri, usa","Pre-Wisconsin glacial stratigraphy of the central plains region in Iowa, Nebraska, Kansas, and Missouri","Pre-Wisconsin glacial stratigraphy of the central plains region in Iowa, Nebraska, Kansas, and Missouri","A full-glacial biota from southeastern Iowa, USA","Stages of Climatic Change from Full Glacial to Holocene in Northwest Spain, Southern France and Italy: A Comparison of the Atlantic Coast and the Mediterranean Basin","Aeroallergens of southeastern missouri, usa","Pre-Wisconsin glacial stratigraphy of the central plains region in Iowa, Nebraska, Kansas, and Missouri"
"A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts"," Leptographium terebrantis and Black Turpentine Beetles Associated with Blue Stain and Mortality of Black and Scots Pines on Cape Cod, Massachusetts ","Comparison of phytoplankton concentrations and cell volume measurements from the continental shelf off Cape Cod, Massachusetts, U.S.A.","J. D. Davis & D. Merriman, editors. Observations on the Ecology and Biology of Western Cape Cod Bay, Massachusetts. xiv, 289 pp. Springer-Verlag, 1984.Soft cover. Price DM 58.00. (Lecture Notes on Coastal and Estuarine Studies, No. 11.)"," Lecture Notes on Coastal and Estuarine Studies. Volume 11: Observations on the Ecology and Biology of Western Cape Cod Bay, Massachusetts John D. Davis Daniel Merriman Richard T. Barber ","A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts"," Leptographium terebrantis and Black Turpentine Beetles Associated with Blue Stain and Mortality of Black and Scots Pines on Cape Cod, Massachusetts ","Comparison of phytoplankton concentrations and cell volume measurements from the continental shelf off Cape Cod, Massachusetts, U.S.A.","J. D. Davis & D. Merriman, editors. Observations on the Ecology and Biology of Western Cape Cod Bay, Massachusetts. xiv, 289 pp. Springer-Verlag, 1984.Soft cover. Price DM 58.00. (Lecture Notes on Coastal and Estuarine Studies, No. 11.)"
