PublicationID,Year,Citation,ArticleTitle,DOI
3,1978,"Davis, M.B. 1978. Climatic interpretation of pollen in Quaternary sediments. Pages 35-51 in D. Walker and J.C. Guppy, editors. Biology and Quaternary environments. Australian Academy of Science, Canberra City, Australia.",Climatic interpretation of pollen in Quaternary sediments,NULL
4,2011,"Hausmann, S., I. Larocque-Tobler, P.J.H. Richard, R. Pienitz, G. St-Onge, and F. Fye. 2011. Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years. The Holocene 21(6):925-938. http://hol.sagepub.com/content/21/6/925.full.pdf+html. [DOI: 10.1177/0959683611400199]","Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years",10.1177/0959683611400199
5,1968,"Janssen, C.R. 1968. Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota. Canadian Journal of Botany 46:1397-1410.",Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota,NULL
7,1982,"Maher, L.J., Jr. 1982. The palynology of Devils Lake, Sauk County, Wisconsin. Pages 119-135 in J.C. Knox, L. Clayton, and D.M. Mickelson, editors. Quaternary History of the Driftless Area. Field Trip Guide Book 5. University of Wisconsin-Extension, Geological and Natural History Survey, Madison, Wisconsin, USA. Notes: Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.","The palynology of Devils Lake, Sauk County, Wisconsin",NULL
8,1986,"Jacobson, G.L., Jr., and E.C. Grimm. 1986. A numerical analysis of Holocene forest and prairie vegetation in central Minnesota. Ecology 67(4):958-966. [DOI: 10.2307/1939818]",A numerical analysis of Holocene forest and prairie vegetation in central Minnesota,10.2307/1939818
9,1972,"Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53:46-57.",Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota,NULL
10,1979,"Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49:255-280.",Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee,NULL
11,1979,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469.",Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain,NULL
12,1973,"King, J.E. 1973. Late Pleistocene palynology and biogeography of the western Missouri Ozarks. Ecological Monographs 43:539-565.",Late Pleistocene palynology and biogeography of the western Missouri Ozarks,NULL
13,1985,"Overpeck, J.T. 1985. A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York. York. Geological Society of America Bulletin 96:145-154.","A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York",NULL
14,1986,"Baker, R.G., R.S. Rhodes II, D.P. Schwert, A.C. Ashworth, T.J. Frest, G.R. Hallberg, and J.A. Janssens. 1986. A full- Glacial Biota from Southeastern Iowa, USA. Journal of Quaternary Science 1(2):91-107.","A full- Glacial Biota from Southeastern Iowa, USA",NULL
15,1985,"Winkler, M.G. 1985. A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts. Quaternary Research 23:301-312.","A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts",NULL
16,1988,"Winkler, M.G. 1988. Paleolimnology of a Cape Cod kettle pond: diatoms and reconstructed pH. Ecological Monographs 58:197-214.",Paleolimnology of a Cape Cod kettle pond: diatoms and reconstructed pH,NULL
17,1967,"Nichols, H. 1967. The post-glacial history of vegetation and climate at Ennadai Lake, Keewatin, and Lynn Lake, Manitoba (Canada). Eiszeitalter und Gegenwart 18:176-197.","The post-glacial history of vegetation and climate at Ennadai Lake, Keewatin, and Lynn Lake, Manitoba (Canada)",NULL
18,1974,"Kerfoot, W.C. 1974. Net accumulation rates and the history of cladoceran communities. Ecology 55:51-61.",Net accumulation rates and the history of cladoceran communities,NULL
19,1973,"Swain, A.M. 1973. A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments. Quaternary Research 3:383-396.",A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments,NULL
20,1979,"Whitehead, D.R. 1979. Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts. Quaternary Research 12:333-357.","Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts",NULL
21,1975,"Watts, W.A. 1975. Vegetation record for the last 20,000 years from a small marsh on Lookout Mountain, northwestern Georgia. Geological Society of America Bulletin 86(3):287-291. [DOI: 10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2]","Vegetation record for the last 20,000 years from a small marsh on Lookout Mountain, northwestern Georgia",10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2
24,1991,"Cwynar, L.C., and R.W. Spear. 1991. Reversion of forest to tundra in the central Yukon. Ecology 72:202-212.",Reversion of forest to tundra in the central Yukon,NULL
25,1969,"Waddington, J.C.B. 1969. A stratigraphic record of the pollen influx to a lake in the Big Woods of Minnesota. Geological Society of America Special Paper 123:263-282.",A stratigraphic record of the pollen influx to a lake in the Big Woods of Minnesota,NULL
27,1981,"Birks, H.J.B. 1981. Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota. Quaternary Research 16:322-355.","Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota",NULL
28,1976,"Birks, H.J.B. 1976. Late-Wisconsinan vegetational history at Wolf Creek, central Minnesota. Ecological Monographs. Ecological Monographs 46:395-429.","Late-Wisconsinan vegetational history at Wolf Creek, central Minnesota. Ecological Monographs",NULL
29,1975,"Brubaker, L.B. 1975. Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan. Quaternary Research 5:499-527.",Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan,NULL
30,1981,"Bernabo, J.C. 1981. Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data. Quaternary Research 15:143-159.",Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data,NULL
31,1978,"Brugam, R.B. 1978. Pollen indicators of land-use change in southern Connecticut. Quaternary Research 9:349-362.",Pollen indicators of land-use change in southern Connecticut,NULL
32,1977,"Bryant, V.M., Jr. 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1:143-156.","A 16,000 year pollen record of vegetational change in central Texas",NULL
36,1964,"Cushing, E.J. 1964. Redeposited pollen in late-Wisconsin pollen spectra from east-central Minnesota. American Journal of Science 262(9):1075-1088. http://www.ajsonline.org/content/262/9/1075. [DOI: 10.2475/ajs.262.9.1075]",Redeposited pollen in late-Wisconsin pollen spectra from east-central Minnesota,10.2475/ajs.262.9.1075
37,1979,"Davis, A.M. 1979. Wetland succession, fire and the pollen record: a midwestern example. American Midland Naturalist 102(1):86-94. http://www.jstor.org/discover/10.2307/2425069?uid=3739656.","Wetland succession, fire and the pollen record: a midwestern example",NULL
38,1977,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213. http://www.jstor.org/discover/10.2307/2561860.",The prairie-deciduous forest ecotone in the upper Middle West,NULL
39,1972,"Bailey, R.E. 1972. Late- and postglacial environmental changes in northwestern Indiana. Doctoral dissertation. Indiana University, Bloomington, Indiana, USA.",Late- and postglacial environmental changes in northwestern Indiana,NULL
40,1967,"Davis, M.B. 1967. Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time. Review of Paleobotany and Palynology 2(1-4):219-230. http://deepblue.lib.umich.edu/handle/2027.42/33322.","Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time",NULL
42,1958,"Davis, M.B. 1958. Three pollen diagrams from central Massachusetts. American Journal of Science 256:540-570. http://www.ajsonline.org/content/256/8/540.citation. [DOI: 10.2475/ajs.256.8.540]",Three pollen diagrams from central Massachusetts,10.2475/ajs.256.8.540
43,1964,"Davis, M.B., and E.S. Deevey, Jr. 1964. Pollen accumulation rates: estimates from late-glacial sediment of Rogers Lake. Science 145:1293-1295.",Pollen accumulation rates: estimates from late-glacial sediment of Rogers Lake,NULL
44,1981,"Stravers, L.K.S. 1981. Palynology and deglaciation history of the central Labrador-Ungava Peninsula. Master's thesis. University of Colorado, Boulder, Colorado, USA.",Palynology and deglaciation history of the central Labrador-Ungava Peninsula,NULL
45,1975,"Davis, R.B., T.E. Bradstreet, R. Stuckenrath, Jr., and H.W. Borns, Jr. 1975. Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine. Quaternary Research 5(3):436-465. http://www.sciencedirect.com/science/article/pii/0033589475900411.","Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine",NULL
47,1980,"Delcourt, P.A., H.R. Delcourt, R.C. Brister, and L.E. Lackey. 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research 13(1):111-132. http://www.sciencedirect.com/science/article/pii/0033589480900861.",Quaternary vegetation history of the Mississippi embayment,NULL
48,1980,"Delcourt, P.A., H.R. Delcourt, R.C. Brister, and L.E. Lackey. 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research 13:111-132.",Quaternary vegetation history of the Mississippi embayment,NULL
50,1985,"Engstrom, D.R., and B.C.S. Hansen. 1985. Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy. Canadian Journal of Botany 63(3):543-561. http://www.nrcresearchpress.com/doi/abs/10.1139/b85-070?journalCode=cjb1#.Uke_44bbN8E. [DOI: 10.1139/b85-070]",Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy,10.1139/b85-070
